GEOID,NAME,pop,rev,igr,igrpct,exp,police,fire,pw,parks,debt,ftes1k
4714000,"Chattanooga city, Tennessee",191495,2042.645892,389.1818481,0.190528299,1826.927789,479.0199065,349.4831667,247.4944777,103.9320609,701.582715,15.30066059
0541000,"Little Rock city, Arkansas",204793,1337.494953,62.01294966,0.046364997,1386.84959,463.8589893,328.4512312,119.2358088,55.51843081,496.0130473,8.974916135
3901000,"Akron city, Ohio",189669,1089.985854,64.94190405,0.059580502,1092.631326,346.428768,231.3376936,144.8107176,24.79637685,375.0481101,10.20198346
4075000,"Tulsa city, Oklahoma",413652,955.2304836,99.39272625,0.104051041,995.0489784,310.5799077,235.5288987,73.68270914,34.72725866,1279.353176,10.47257115
4803000,"Amarillo city, Texas",197979,1317.380924,14.1254325,0.01072236,1331.573783,358.6994479,273.4777072,216.2609115,49.05723334,535.6931796,13.88026003
3915000,"Cincinnati city, Ohio",314914,1857.630972,96.29613164,0.051838139,1686.215919,612.6625047,454.8098846,64.21753241,36.24481605,1007.322634,16.86174638
4164900,"Salem city, Oregon",180389,942.3473826,152.7065065,0.162049059,984.3284735,343.7641652,281.6177095,100.299791,65.92385345,933.9713619,7.517088071
1270600,"Tallahassee city, Florida",205091,761.3205845,129.1329215,0.16961701,954.3714741,447.503791,272.8642408,114.1054459,143.0828266,898.4548322,14.61302544
2758000,"St. Paul city, Minnesota",307484,1199.281127,346.6061519,0.289011595,1116.895276,327.3561258,223.0839198,119.587107,157.4746751,809.5036847,10.34525374
3775000,"Winston-Salem city, North Carolina",255782,1092.976589,100.8728566,0.092291873,1060.519368,370.7283038,191.4459266,163.2953101,63.45521577,820.4838495,10.34865628
3722920,"Fayetteville city, North Carolina",209485,1050.977932,84.66726496,0.080560459,936.7076974,287.4854238,182.4838533,128.2859536,97.83372557,142.220579,7.594815858
4123850,"Eugene city, Oregon",178789,1118.307608,77.4898232,0.069292047,1095.626342,370.9377087,236.5331256,145.6567462,29.24123408,172.4099357,8.753334937
2270000,"Shreveport city, Louisiana",177972,1489.461707,143.7661093,0.096522192,1407.620806,407.9770975,365.7353685,143.8386993,131.4824017,1322.59007,14.36742858
0107000,"Birmingham city, Alabama",198477,2802.989767,121.8327564,0.043465288,2686.613562,619.4017443,499.1963804,215.5866927,114.1341314,933.1559828,16.33942472
1263000,"St. Petersburg city, Florida",267073,1570.08309,339.0878037,0.215968063,1812.436514,613.9974239,191.6730407,86.05819757,210.0385438,372.5947587,13.16493992
4740000,"Knoxville city, Tennessee",198708,1630.974626,161.9533386,0.099298503,1440.539983,442.9401031,277.7466232,161.7865713,53.57903054,478.1186465,7.594057612
0151000,"Montgomery city, Alabama",195826,1674.967844,41.63329691,0.024856177,1233.364283,248.3930837,269.6916446,259.0536701,106.0961568,1089.859768,10.64720721
1271000,"Tampa city, Florida",414575,1415.75939,162.8136767,0.115000951,1620.642779,625.1005077,383.5504505,85.69805705,153.0848073,443.0561418,12.16667672
5367000,"Spokane city, Washington",230604,1165.2915,19.26060259,0.01652857,1071.82656,425.2873324,313.0272979,477.9516704,58.34780403,796.538655,10.60259146
1825000,"Fort Wayne city, Indiana",273425,545.0393051,8.637732468,0.015847907,543.4858956,323.1101545,222.4458554,64.40813386,125.054578,448.8506903,7.307305477
2079000,"Wichita city, Kansas",400993,828.5856037,46.51129321,0.056133359,799.4488732,340.4944924,178.8162063,58.10422875,51.64879437,1293.651011,8.214607238
4261000,"Pittsburgh city, Pennsylvania",307670,2225.492456,157.2477265,0.070657497,2083.959486,631.8532226,568.210092,303.2236617,34.34815874,1664.949982,11.60984171
0670098,"Santa Rosa city, California",177531,1346.356479,55.09433845,0.040921063,1303.801342,444.3263092,343.3063127,144.7266224,74.57198461,53.10058525,7.367727326
3755000,"Raleigh city, North Carolina",499637,1534.860755,46.1994528,0.030100094,1182.056415,281.5807116,176.8860833,131.1149735,147.6206226,1055.314158,9.150643367
3260600,"Reno city, Nevada",281684,1093.439485,400.381218,0.366166782,1087.501967,375.6318783,295.9935034,178.0600567,62.27940174,277.2077931,5.456468951
2582000,"Worcester city, Massachusetts",211289,4271.445333,2099.492226,0.49151799,4178.030428,299.7258873,230.636337,145.0092101,42.32932618,3731.509922,8.987689847
