GEOID,lat,lon
4714000,35.0456,-85.3097
541000,34.7465,-92.2896
3901000,41.0814,-81.5190
4075000,36.1540,-95.9928
4803000,35.1991,-101.8313
3915000,39.1031,-84.5120
4164900,44.9429,-123.0351
1270600,30.4383,-84.2807
2758000,44.9537,-93.0900
3775000,36.0999,-80.2442
3722920,35.0527,-78.8784
4123850,44.0521,-123.0868
2270000,32.5252,-93.7502
107000,33.5186,-86.8104
1263000,27.7676,-82.6403
4740000,35.9606,-83.9207
151000,32.3668,-86.3000
1271000,27.9506,-82.4572
5367000,47.6588,-117.4260
1825000,41.0793,-85.1394
2079000,37.6872,-97.3301
4261000,40.4406,-79.9959
670098,38.4404,-122.7141
3755000,35.7796,-78.6382
3260600,39.5296,-119.8138
2582000,42.2626,-71.8023
